t,y
14.07,59.69
14.1,60.17
14.14,59.7
14.17,59.5
14.2,58.58
14.24,55.5
14.27,20
14.3,-1
14.34,21.5
14.37,51.5
14.4,58.5
14.44,59.8
14.47,59.38
14.5,59.58
14.54,59.67
14.57,59.22
14.6,60.42
14.63,60.39
14.67,59.97
14.7,60
14.74,60
14.77,60.77
14.8,60.08
14.84,60.35
14.87,60.47
14.9,60.13
14.94,60.58
14.97,60.19
15,60.5
15.04,60.88
15.07,59.77
15.1,60.78
15.14,60.48
15.17,60.4
15.2,59.99
15.24,57.06
15.27,-1
15.3,-1
15.34,-1
15.37,-1
15.4,-1
15.44,44.5
15.47,56
15.5,58
15.54,58.32
15.57,57.58
15.6,58.24
15.64,58.15
15.67,58.99
15.71,58.94
15.74,59.75
15.77,59.55
15.8,59.93
15.84,60.02
15.87,60.18
15.9,60.01
15.94,60.53
15.97,60.89
16,60.73
16.04,60.82
16.07,60.36
16.11,61.01
16.14,60.28
16.17,60.21
16.2,60.18
16.24,60.55
16.27,60.25
16.31,59.31
16.34,58.91
16.37,58.1
16.4,58.46
16.44,57.63
16.47,56.82
16.51,57.47
16.54,56.72
16.57,56.73
16.61,56.86
16.64,55.87
16.67,56.75
16.7,56.63
16.74,57.06
16.77,57.22
16.81,56.77
16.83,57.96
16.87,58.4
16.9,58.05
16.94,58.68
16.97,58.41
17,58.39
17.04,59.09
17.07,56.82
17.11,56.2
17.14,54.02
17.17,53.5
17.21,51.81
17.24,50.24
17.27,48.95
17.3,47.35
17.34,46.59
17.37,46.04
17.4,44.91
17.44,44.74
17.47,44
17.5,43.15
17.54,42.8
17.57,41.93
17.6,41.75
17.64,41.65
17.67,41.48
17.71,40
17.74,39.84
17.77,39.67
17.81,39.5
17.84,39.5
17.87,39.16
17.9,38.75
17.94,37.91
17.97,38
18,38.32
18.04,36.24
18.07,16
18.1,-1
18.14,-1
18.17,-1
18.2,33.5
18.24,35.03
18.27,35.43
18.3,35
18.34,35.39
18.37,36
18.4,35.8
18.44,35.03
18.47,35.52
18.51,36.54
18.54,36.29
18.57,37
18.6,37
18.64,36.83
18.67,37
18.71,37
18.74,36.37
18.77,36.41
18.81,36.39
18.84,35.86
18.87,35.5
18.9,35.58
18.94,35.45
18.97,35.09
19.01,35.5
19.04,35.14
19.07,34.5
19.1,34.24
19.14,33.79
19.17,33.81
19.21,33.92
19.24,33.9
19.27,34.33
19.3,34.27
19.34,34.15
19.37,33.45
19.4,34
19.44,33.5
19.47,33
19.5,33
19.54,32.5
19.57,32.84
19.6,32.5
19.64,31.83
19.67,31.59
19.7,31.88
19.74,32
19.77,31.37
19.8,31.46
