t,y
61.7,23.5
61.74,22.5
61.77,22
61.8,18.5
61.84,9
61.87,-1
61.9,-1
61.94,-1
61.97,-1
62,-1
62.04,-1
62.07,-1
62.1,14
62.14,20.5
62.17,34
62.2,40
62.23,45
62.27,47
62.3,46.29
62.34,45.5
62.37,46.28
62.4,47.2
62.44,47
62.47,47.57
62.5,47.51
62.54,46.5
62.57,46.84
62.6,46.08
62.64,46.39
62.67,46.5
62.7,46.1
62.74,45.5
62.77,46.7
62.8,46.53
62.84,45.55
62.87,44
62.9,41.55
62.94,38.47
62.97,30
63,27
63.03,26.5
63.07,29
63.1,31.02
63.14,33.5
63.17,35.5
63.2,36
63.24,38
63.27,40.5
63.3,43
63.34,46
63.37,47.15
63.4,46.5
63.43,46.82
63.47,46.89
63.5,47.16
63.53,47
63.57,47
63.6,47.5
63.63,47.22
63.67,48.3
63.7,48.27
63.74,48.5
63.77,48.72
63.8,48.91
63.84,49.31
63.87,49.46
63.9,48.5
63.94,49.56
63.97,49.87
64,49.22
64.03,49
64.07,49.48
64.1,48.24
64.14,48.5
64.17,47.46
64.2,42
64.24,25
64.27,18.5
64.3,16.44
64.33,12
64.37,-1
64.4,-1
64.44,-1
64.47,-1
64.5,-1
64.53,-1
64.57,-1
64.6,-1
64.63,34.54
64.67,43.5
64.7,47.03
64.74,49.5
64.77,49.94
64.8,49.99
64.83,48.5
64.87,48.71
64.9,50.11
64.94,50
64.97,49.5
65,49.87
65.03,50
65.07,49.5
65.1,50.5
65.13,50
65.17,49.27
65.2,50.17
65.23,49.79
65.27,49.76
65.3,49.91
65.34,50.5
65.37,50.55
65.4,50.49
65.43,50.45
65.47,50.17
65.5,50.55
65.54,50.27
65.57,50.5
65.6,49.96
65.63,41.5
65.67,7
65.7,-1
65.74,-1
65.77,-1
65.8,19
65.84,40.53
65.87,48
65.9,50
65.93,49.32
65.97,50.47
66,50.17
66.03,50.11
66.07,50.55
66.1,51.6
66.14,51
66.17,51.34
66.2,52
66.24,52
66.27,52.03
66.3,51.72
66.34,51.8
66.37,52.4
66.4,52
66.44,51.8
66.47,51.84
66.5,52
66.53,52.34
66.57,52.5
66.6,53
66.64,53.34
66.67,53.5
66.71,53.07
66.74,54
66.77,53
66.8,53.5
66.84,53.5
66.87,52.69
66.9,52.34
66.94,52
66.97,51.61
67,51.14
67.04,51.5
67.07,52.06
67.1,52.06
67.14,48
67.17,48
67.2,48
67.23,48
67.17,48
